Rank,Name,Score,Age,Avg Arrow
124,IVAN BANCHEV ,31.85,16,8.89
41,TANG CHIH-CHUN ,72.45,17,9.19
50,QUAN SUN ,63,17,9.15
130,HO GORA ,30.325,17,8.93
178,MD IBRAHIM SHEIK REZOWAN ,23.1,17,8.67
182,ALEJANDRO BEN�TEZ ,22.8,17,8.58
199,DAMIAN VAES ,21,17,9.15
24,JACK WILLIAMS ,101.7,18,9.24
79,TOMATSU DAISUKE ,45.4,18,9.36
103,GAURAV TRAMBAK LAMBE ,37.4,18,8.97
111,ALEX WISE ,35.5,18,8.88
120,ERDAL MERIC DAL ,33,18,8.71
144,YAN WANG ,27,18,9.27
144,KIM KANGHYUN ,27,18,9.19
144,WEI SHAOXUAN ,27,18,9.08
156,YASHDEV . ,26.125,18,8.8
177,MARCELO COSTA ,23.125,18,8.77
179,LI YEN-YU ,23,18,8.92
193,JARNO DE SMEDT ,21.5,18,8.91
5,METE GAZOZ ,197.5,19,9.27
19,RICARDO SOTO ,111.9,19,9.06
60,MUHAMAD ZARIF SYAHIIR ZOLKEPELI ,56.475,19,8.92
63,ALEN REMAR ,52.15,19,8.9
72,DENG YU-CHENG ,48.475,19,9.02
97,SACHIN GUPTA ,39.575,19,8.95
131,TAMIMUL ISLAM MOHAMMAD ,29.6,19,8.85
137,WANG WENXUAN ,28,19,9.13
139,MARIO DAMIAN JAJARABILLA ,27.6,19,8.61
22,MARCUS D'ALMEIDA ,108,20,9.19
49,ABDULLIN ILFAT ,63.5,20,9.11
58,JAO TING-YU ,58.95,20,9.01
69,MA TIANCI ,49.5,20,9.05
80,JAN VAN TONGEREN ,45,20,9.03
94,MATEUSZ OGRODOWCZYK ,40.5,20,8.88
141,MANSOUR FAHD M. ALWI ,27.4,20,8.48
175,LUDVIG FLINK ,23.45,20,8.69
198,LUIS GABRIEL MORENO ,21.05,20,8.54
1,LEE WOO SEOK ,267.75,21,9.44
8,THOMAS CHIRAULT ,166.75,21,9.18
29,GASPER STRAJHAR ,89.6,21,9.07
56,MUTO HIROKI ,59.75,21,9.06
64,KAWATA YUKI ,52,21,9.11
68,OTGONBOLD BAATARKHUYAG ,49.9,21,9
69,BEN ADRIAENSEN ,49.5,21,8.78
73,ANDRES AGUILAR ,48,21,8.83
111,KURAYA TOMOAKI ,35.5,21,9.03
129,HOANG VAN LOC ,30.4,21,8.97
134,NIKOLA STEFANOVIC ,28.7,21,8.61
181,ONUR TEZEL ,22.925,21,8.85
182,WILLIAN O' BRIEN ,22.8,21,8.49
185,MATHIEU JIMENEZ ,22.6,21,8.95
191,SVIATASLAU TSARANKOU ,21.75,21,8.74
193,FLORIAN FABER ,21.5,21,9.03
200,NATTHAPOOM PHUSAWAT ,20.7,21,8.87
2,STEVE WIJLER ,256.5,22,9.31
26,ARSALAN BALDANOV ,98.75,22,9.13
27,DAN OLARU ,96.5,22,9.06
28,WANG DAPENG ,93.25,22,9.2
31,DAVID PASQUALUCCI ,86.5,22,9.13
32,ANDREAS GSTOETTNER ,85.25,22,9.12
33,PABLO ACHA ,85.2,22,9.12
36,SANZHAR MUSSAYEV ,81.5,22,9.03
38,PATRICK HUSTON ,77.5,22,9.15
43,KIM JONGHO ,71,22,9.4
57,DANIEL MARTINEZ ,59.7,22,8.7
71,ROK BIZJAK ,49.05,22,8.92
90,VITALII POPOV ,41,22,9.05
102,CHU DUC ANH ,37.7,22,8.96
104,FELIPE PEREZ ,37.125,22,8.75
107,ROMAIN FICHET ,36,22,8.94
138,DOMINIK IRRASCH ,27.725,22,8.76
159,YAMAMOTO MASAYA ,25.25,22,9.07
160,IGNACIO ESCALANTE ,25.05,22,8.8
166,COLLIN KLIMITCHEK ,24.75,22,8.97
167,HECTOR RAMOS ,24.6,22,8.45
171,PIT KLEIN ,24.15,22,8.82
184,ZURAB MESTVIRISHVILI ,22.725,22,8.79
186,PUREVSUREN BATAA ,22.45,22,8.91
11,SJEF VAN DEN BERG ,137.25,23,9.36
23,MUHAMMAD AKMAL NOR HASRIN ,107.25,23,9.09
30,MAXIMILIAN WECKMUELLER ,88.5,23,9.06
47,ARTEM MAKHNENKO ,65.75,23,9.27
51,MD RUMAN SHANA ,61.35,23,9.17
52,THOMAS FLOSSBACH ,61.2,23,8.91
54,LEE SEUNGYUN ,60,23,9.48
75,MATIJA MIHALIC ,47.525,23,8.73
95,ESTIVEN RAMIREZ ,39.825,23,8.73
100,DANIEL BETANCUR ,38.213,23,8.82
106,CONNER SORLEY ,36.45,23,8.81
107,LUCAS DANIEL ,36,23,8.96
136,ARPAD BANDA ,28.35,23,8.99
140,SUGIO TOMOKI ,27.5,23,9.09
141,ADIYASUREN BAASANKHUU ,27.4,23,8.92
149,SADEGH ASHRAFI ,26.95,23,8.98
154,EDSON KIM ,26.4,23,8.67
157,TAO JIN ,26,23,9.09
164,SERGII MAKAREVYCH ,24.975,23,9.09
173,DHANIRAM BASUMATARY ,23.625,23,9.16
195,MART OONA ,21.4,23,8.62
9,WEI CHUN-HENG ,153.5,24,9.26
35,MIGUEL ALVARINO GARCIA ,81.875,24,9.14
42,GALSAN BAZARZHAPOV ,71.95,24,9.08
46,SULTAN DUZELBAYEV ,66.5,24,9.02
90,LUO WEI-MIN ,41,24,8.93
96,IBRAHIM ETHEM GULACAR ,39.6,24,8.86
99,THOMAS ANTOINE ,38.25,24,9.05
105,FARES MATER ALOTAIBI ,36.9,24,8.58
133,ANDREI DANILA ,28.825,24,8.87
151,ASHE MORGAN ,26.75,24,8.97
155,LUIS MIGUEL JAQUEZ ,26.2,24,8.53
169,OONUKI WATARU ,24.5,24,8.17
18,FLORIAN KAHLLUND ,115.625,25,9.13
37,ERNESTO BOARDMAN ,79.2,25,9.13
45,DANIEL FELIPE PINEDA ,66.75,25,9.01
65,LI JIALUN ,51.75,25,9.06
74,XU TIANYU ,47.75,25,9.13
77,HAZIQ KAMARUDDIN ,45.5,25,9.04
77,ANTTI OLAVI VIKSTROM ,45.5,25,8.95
89,JORGE OCIEL NEVAREZ ,41.2,25,8.94
122,KACPER SIERAKOWSKI ,32.45,25,9.08
132,FELIX WIESER ,29.5,25,8.92
165,JIM RAVEN ROSARIO ,24.8,25,8.44
